Omitted_ID,Beta,SE,CI_low,CI_high,t,df,p,Delta_beta,Deletion_DFBETA,Absolute_DFBETA,Percent_change,CI_excludes_zero,Above_DFBETA_threshold
88,-0.4092851683623734,0.15791268744098402,-0.7208487822340575,-0.09772155449068937,-2.591844740248206,183,0.010316846638951504,0.0006740753749743256,-0.004268711095494227,0.004268711095494227,0.16442497279222018,True,False
89,-0.4102637841905231,0.15796949608428754,-0.7219394821923275,-0.09858808618871873,-2.5971076338157038,183,0.010165738958435387,-0.0003045404531754059,0.001928560602805302,0.001928560602805302,-0.07428554370407577,True,False
90,-0.4072135036926031,0.158298374080481,-0.7195380818995222,-0.09488892548568406,-2.5724427433826347,183,0.010891476943032476,0.0027457400447445934,-0.017387923412556773,0.017387923412556773,0.669759271607919,True,False
91,-0.42102843654511257,0.158230883175476,-0.7332198543922936,-0.10883701869793144,-2.660848679446461,183,0.008487108095539726,-0.01106919280776486,0.07009777824693637,0.07009777824693637,-2.7000715258555457,True,False
92,-0.4099408976403233,0.15791753894192095,-0.7215140835811622,-0.09836771169948444,-2.595917466717182,183,0.010199736013913682,1.834609702439094e-05,-0.00011618016446604964,0.00011618016446604964,0.004475102660728123,True,False
93,-0.4250078031009162,0.1598450257702539,-0.7403839435203172,-0.10963166268151514,-2.658874125440614,183,0.008535108553983874,-0.01504855936356847,0.09529787722762456,0.09529787722762456,-3.670745224910642,True,False
94,-0.4097083433705803,0.15837309889211662,-0.7221803545212124,-0.09723633221994815,-2.5869819195094026,183,0.010458255662673333,0.0002509003667673926,-0.0015888745075791162,0.0015888745075791162,0.06120129515316873,True,False
95,-0.4188815596443086,0.1591205328256875,-0.7328282668516506,-0.1049348524369666,-2.6324796191022233,183,0.009200662941645642,-0.00892231590696091,0.056502270107403545,0.056502270107403545,-2.1763909567257493,True,False
96,-0.4185246872486984,0.16401787087625494,-0.7421339007822426,-0.09491547371515419,-2.5517017445279415,183,0.011537329149653783,-0.00856544351135069,0.054242307481005905,0.054242307481005905,-2.089340255695854,True,False
97,-0.38970278905842154,0.16290070426941397,-0.7111078195654802,-0.06829775855136289,-2.39227197209602,183,0.017757008036222106,0.020256454678926172,-0.1282778692911035,0.1282778692911035,4.941089873778783,True,False
98,-0.4042083080351112,0.15834960024650457,-0.7166339560779613,-0.0917826599922611,-2.5526323237057476,183,0.011507633386705449,0.005750935702236504,-0.03641889906235765,0.03641889906235765,1.4028066911746495,True,False
99,-0.40148265761261664,0.1617327118947614,-0.7205832252477017,-0.0823820899775316,-2.4823837608922257,183,0.013951592188583445,0.008476586124731067,-0.053679601103852975,0.053679601103852975,2.0676655677904017,True,False
100,-0.40884981790603214,0.15779508794295455,-0.7201814065668903,-0.09751822924517389,-2.5910173962692546,183,0.010340783714265153,0.0011094258313155692,-0.007025651034863952,0.007025651034863952,0.2706185671535571,True,False
101,-0.4098880621344597,0.15792681179362963,-0.7214795435222071,-0.09829658074671233,-2.595430487573444,183,0.010213675940089437,7.118160288799302e-05,-0.0004507710996780041,0.0004507710996780041,0.017363092545267154,True,False
102,-0.42053040294091854,0.15856260742572334,-0.733376316686376,-0.10768448919546098,-2.6521410676089614,183,0.008700631391773187,-0.010571159203570824,0.06694388529804614,0.06694388529804614,-2.578587838927604,True,False
